emp_no,first_name,last_name,title,from_date,salary
10001,Georgi,Facello,60117,1986-06-26,60117
10150,Zhenbing,Perng,70122,1986-11-16,70122
10153,Heekeun,Majewski,54246,2000-01-08,54246
10157,Nigel,Aloisi,48770,1997-12-10,48770
10198,Pranav,Furedi,44076,1985-08-31,44076
10215,Xiaobin,Duclos,43944,1991-11-23,43944
10224,Leon,Trogemann,40000,1988-01-09,40000
10233,Lein,Vendrig,40000,1994-04-29,40000
10258,Basil,Ishibashi,66280,1985-05-17,66280
10272,Yishai,Cannane,58070,1997-10-23,58070
10282,Hercules,Benzmuller,40000,1996-05-02,40000
10283,Kauko,Birjandi,40000,1988-05-25,40000
10326,Masali,Czap,40000,1998-09-02,40000
10340,Djelloul,Laventhal,68132,1988-03-30,68132
10347,Pradeep,Kaminger,42199,1998-02-20,42199
10355,Satyanarayana,Cochrane,70434,1996-01-26,70434
10356,Vasilis,Standera,45376,1995-06-26,45376
10364,Nakhoon,Dengi,51401,1985-11-14,51401
10372,Anneli,Frijda,54505,1985-07-30,54505
10387,Parto,Wrigley,61374,1994-01-07,61374
10396,Sibyl,Rahier,40393,1986-01-11,40393
10402,Volkmar,Ebeling,40000,1987-01-02,40000
10404,Prodip,Rosti,51647,1988-08-28,51647
10426,Arunas,Luce,65757,1985-07-06,65757
10429,Martien,Improta,40000,1988-09-23,40000
10432,Hisao,Tiemann,40000,1990-08-13,40000
10451,Bodh,Ranta,46275,1988-03-12,46275
10453,Tsvetan,Matzel,40000,1985-04-02,40000
10463,Ung,Zaiane,66480,1994-02-17,66480
10486,Amstein,Kossowski,71692,1987-10-08,71692
10494,Yakkov,Servieres,50094,1991-12-18,50094
10504,Xiong,Varker,43931,1999-10-19,43931
10512,Udi,Gihr,40000,1989-11-28,40000
10522,Marke,Cesareni,40000,1986-12-12,40000
10548,Ramalingam,Gunderson,90631,1991-10-04,90631
10548,Ramalingam,Gunderson,90631,1986-07-04,90631
10564,Jianhao,Thisen,46660,1995-11-23,46660
10623,Aleksander,Danlos,60268,1992-01-15,60268
10623,Aleksander,Danlos,60268,1996-02-11,60268
10628,Krisda,Krogh,41650,1987-03-14,41650
10631,Inderjeet,Chaudhuri,40000,1994-10-18,40000
10642,Hirochika,Narlikar,40000,1998-10-05,40000
10653,Otmar,Feinberg,40000,1987-04-30,40000
10671,Parviz,Rebaine,74037,1995-09-14,74037
10676,Valeri,Danley,58226,1999-09-04,58226
10693,Berhard,Daescu,40000,1986-01-08,40000
10702,Bader,Szemeredi,46581,1991-01-14,46581
10718,Adib,Rullman,75473,1988-07-21,75473
10726,Zita,Minakawa,46315,1992-02-25,46315
10734,Sachar,Erdi,47377,1995-12-19,47377
10745,Poorav,Ranze,40000,1988-01-23,40000
10749,King,Brendel,60829,1985-09-26,60829
10767,Monique,Doering,40651,1997-07-15,40651
10768,Ishfaq,Candan,65717,1985-07-04,65717
10778,Selwyn,Merey,64996,1986-07-04,64996
10791,Tadahiko,Sgarro,40000,1988-07-30,40000
10795,Supot,Naudin,84206,1993-05-03,84206
10808,Chenxi,Leijenhorst,40000,1987-03-07,40000
10835,Tomoyuki,Kermarrec,40000,1995-08-22,40000
10836,Jianhua,Leivant,65502,1987-08-10,65502
10836,Jianhua,Leivant,65502,1991-07-01,65502
10844,Dipayan,Koprowski,40000,1997-04-25,40000
10847,Theirry,Danley,40000,1986-07-25,40000
10848,Fen,Bratsberg,50475,1985-04-20,50475
10878,Lakshmi,Deville,72102,1997-04-25,72102
10879,Muzhong,Chleq,65651,1985-08-15,65651
10883,Shimshon,Champarnaud,40000,1996-12-28,40000
10909,Georgi,Atchley,80935,1993-12-26,80935
10921,Mara,Bahi,72601,1986-07-27,72601
10924,Hironoby,Atchley,84783,1988-08-14,84783
10927,Gal,Scallan,51819,1986-09-12,51819
10936,Mountaz,Schicker,40000,1990-05-09,40000
10943,Berna,Skafidas,45890,1993-05-22,45890
10965,Eckart,Braunschweig,61654,1986-07-29,61654
10969,Premal,Noriega,40000,1994-05-12,40000
10974,Muneo,Papsdorf,56005,1999-05-17,56005
10986,Masako,Schiper,43900,1985-10-11,43900
10988,Chinya,Deyuan,54174,1985-06-19,54174
10989,Sumali,Candan,46406,1985-07-20,46406
10990,Shin,Foote,40000,1990-08-06,40000
11009,Alper,Axelband,75111,1986-09-09,75111
11012,Taegyun,Speckmann,72092,1996-07-06,72092
11012,Taegyun,Speckmann,72092,2000-03-16,72092
11019,Leon,Huttel,69387,1992-05-24,69387
11021,Srinidhi,Henders,62670,1998-02-02,62670
11027,Remzi,Cappello,40000,1986-05-07,40000
11031,Ottavia,Walstra,71654,1985-10-24,71654
10004,Chirstian,Koblick,40054,1986-12-01,40054
11037,Lansing,Maliniak,40000,1988-01-28,40000
11038,Jinya,Beidas,44993,1985-07-15,44993
11042,Gou,Breugel,40000,1993-06-21,40000
10009,Sumant,Peac,60929,1985-02-18,60929
11048,Jaques,Demke,65697,1999-05-27,65697
11050,Elvis,Katiyar,52251,1986-05-06,52251
11051,Przemyslawa,Erol,40000,1991-03-27,40000
10018,Kazuhide,Peha,55881,1992-07-29,55881
11070,Adib,Raney,40000,1985-07-24,40000
11081,Barry,Boyle,65686,1985-06-17,65686
11085,Hailing,Thummel,66437,1996-02-10,66437
10018,Kazuhide,Peha,55881,1987-04-03,55881
10035,Alain,Chappelet,41538,1988-09-05,41538
10053,Sanjiv,Zschoche,67854,1994-11-13,67854
11100,Berna,Cochrane,40000,1986-10-13,40000
11106,Aris,Iwayama,71446,1985-08-31,71446
11112,Boaz,Mukaidono,40000,1995-04-28,40000
10058,Berhard,McFarlin,52787,1988-04-25,52787
11113,Shahab,Peng,66401,1985-11-30,66401
10066,Kwee,Schusler,69736,1986-02-26,69736
11121,Vugranam,Kakkad,40000,1992-10-31,40000
11133,Nalini,Azulay,40000,1994-03-06,40000
10067,Claudi,Stavenow,44642,1987-03-04,44642
11134,Sachar,Rajcani,58731,1993-05-19,58731
10070,Reuven,Garigliano,55999,1985-10-14,55999
11137,Hugh,Luca,40000,1995-03-16,40000
10070,Reuven,Garigliano,55999,1995-10-18,55999
10072,Hironoby,Sidou,40000,1989-05-21,40000
10076,Erez,Ritzmann,47319,1996-07-15,47319
10088,Jungsoon,Syrzycki,65957,1988-09-02,65957
11139,Bogdan,Homond,63596,1990-05-11,63596
11146,Ishfaq,Masand,96019,1991-08-22,96019
11148,Zhanqiu,Botman,56344,1990-02-08,56344
11148,Zhanqiu,Botman,56344,1991-12-12,56344
11162,Kauko,Narlikar,69873,1985-03-28,69873
10088,Jungsoon,Syrzycki,65957,1992-03-21,65957
10100,Hironobu,Haraldson,54398,1987-09-21,54398
11180,Mitsuyuki,Bojadziev,40000,1986-06-11,40000
11197,Tadahiro,Fordan,88741,1989-09-12,88741
11204,Diederik,Covnot,40000,1985-09-18,40000
11207,Saeed,Gips,49728,1999-01-31,49728
11208,Saniya,Valtorta,83660,1994-11-17,83660
11211,Yurij,Rissland,72668,1985-09-17,72668
11217,Kellie,Mawatari,40000,1990-03-11,40000
11232,Hidefumi,Crelier,43863,1994-08-02,43863
11240,Kiam,Condotta,61739,1989-01-06,61739
11249,Randi,Cyre,43324,1986-09-22,43324
11251,Bezalel,Chinal,69432,1986-06-15,69432
11268,Aimee,Petersohn,40000,1987-10-25,40000
11275,Hitomi,Eppinger,58382,1989-04-25,58382
11290,Visit,Dredge,65034,1999-05-13,65034
11295,Abdelkader,Lanzelotte,66622,1985-05-15,66622
10103,Akemi,Birch,68158,1998-01-12,68158
11319,Pranas,Marrakchi,40000,1998-11-01,40000
11320,Atilio,McAlpine,45118,1990-04-06,45118
10126,Kayoko,Valtorta,40000,1985-09-08,40000
11322,Nathalie,Pocchiola,43021,1985-07-07,43021
11324,Kauko,Billingsley,54288,1985-08-29,54288
11338,Kwangsub,Hanratty,82210,1998-10-28,82210
11339,Flemming,Massonet,40000,1989-12-19,40000
11347,Anneli,Jonsson,41524,1986-04-20,41524
10129,Armond,Peir,40000,1996-01-16,40000
11365,Toshimi,Shinomoto,56463,1997-12-18,56463
10130,Nishit,Casperson,40000,1988-06-21,40000
10134,Diederik,Siprelle,40000,1993-12-02,40000
11376,Valery,Suomi,46964,1986-03-14,46964
10134,Diederik,Siprelle,40000,1987-12-12,40000
10138,Perry,Shimshoni,53574,1992-03-03,53574
