emp_no,first_name,last_name,title,from_date,salary,rn
10001,Georgi,Facello,Senior Engineer,1986-06-26,60117,1
10004,Chirstian,Koblick,Engineer,1986-12-01,40054,1
10009,Sumant,Peac,Engineer,1985-02-18,60929,1
10018,Kazuhide,Peha,Senior Engineer,1992-07-29,55881,1
10035,Alain,Chappelet,Engineer,1988-09-05,41538,1
10053,Sanjiv,Zschoche,Senior Staff,1994-11-13,67854,1
10058,Berhard,McFarlin,Senior Staff,1988-04-25,52787,1
10066,Kwee,Schusler,Assistant Engineer,1986-02-26,69736,1
10067,Claudi,Stavenow,Engineer,1987-03-04,44642,1
10070,Reuven,Garigliano,Technique Leader,1995-10-18,55999,1
10072,Hironoby,Sidou,Senior Engineer,1989-05-21,40000,1
10076,Erez,Ritzmann,Senior Engineer,1996-07-15,47319,1
10088,Jungsoon,Syrzycki,Senior Staff,1992-03-21,65957,1
10100,Hironobu,Haraldson,Senior Staff,1987-09-21,54398,1
10103,Akemi,Birch,Engineer,1998-01-12,68158,1
10126,Kayoko,Valtorta,Senior Staff,1985-09-08,40000,1
10129,Armond,Peir,Technique Leader,1996-01-16,40000,1
10130,Nishit,Casperson,Senior Engineer,1988-06-21,40000,1
10134,Diederik,Siprelle,Senior Engineer,1993-12-02,40000,1
10138,Perry,Shimshoni,Engineer,1992-03-03,53574,1
10150,Zhenbing,Perng,Engineer,1986-11-16,70122,1
10153,Heekeun,Majewski,Assistant Engineer,2000-01-08,54246,1
10157,Nigel,Aloisi,Senior Engineer,1997-12-10,48770,1
10198,Pranav,Furedi,Engineer,1985-08-31,44076,1
10215,Xiaobin,Duclos,Senior Staff,1991-11-23,43944,1
10224,Leon,Trogemann,Engineer,1988-01-09,40000,1
10233,Lein,Vendrig,Senior Staff,1994-04-29,40000,1
10258,Basil,Ishibashi,Assistant Engineer,1985-05-17,66280,1
10272,Yishai,Cannane,Staff,1997-10-23,58070,1
10282,Hercules,Benzmuller,Assistant Engineer,1996-05-02,40000,1
10283,Kauko,Birjandi,Engineer,1988-05-25,40000,1
10326,Masali,Czap,Staff,1998-09-02,40000,1
10340,Djelloul,Laventhal,Senior Staff,1988-03-30,68132,1
10347,Pradeep,Kaminger,Staff,1998-02-20,42199,1
10355,Satyanarayana,Cochrane,Staff,1996-01-26,70434,1
10356,Vasilis,Standera,Senior Staff,1995-06-26,45376,1
10364,Nakhoon,Dengi,Senior Engineer,1985-11-14,51401,1
10372,Anneli,Frijda,Technique Leader,1985-07-30,54505,1
10387,Parto,Wrigley,Senior Staff,1994-01-07,61374,1
10396,Sibyl,Rahier,Senior Engineer,1986-01-11,40393,1
10402,Volkmar,Ebeling,Technique Leader,1987-01-02,40000,1
10404,Prodip,Rosti,Engineer,1988-08-28,51647,1
10426,Arunas,Luce,Technique Leader,1985-07-06,65757,1
10429,Martien,Improta,Senior Engineer,1988-09-23,40000,1
10432,Hisao,Tiemann,Staff,1990-08-13,40000,1
10451,Bodh,Ranta,Engineer,1988-03-12,46275,1
10453,Tsvetan,Matzel,Senior Staff,1985-04-02,40000,1
10463,Ung,Zaiane,Staff,1994-02-17,66480,1
10486,Amstein,Kossowski,Engineer,1987-10-08,71692,1
10494,Yakkov,Servieres,Engineer,1991-12-18,50094,1
10504,Xiong,Varker,Staff,1999-10-19,43931,1
10512,Udi,Gihr,Senior Staff,1989-11-28,40000,1
10522,Marke,Cesareni,Senior Staff,1986-12-12,40000,1
10548,Ramalingam,Gunderson,Staff,1991-10-04,90631,1
10564,Jianhao,Thisen,Engineer,1995-11-23,46660,1
10623,Aleksander,Danlos,Engineer,1996-02-11,60268,1
10628,Krisda,Krogh,Senior Engineer,1987-03-14,41650,1
10631,Inderjeet,Chaudhuri,Engineer,1994-10-18,40000,1
10642,Hirochika,Narlikar,Engineer,1998-10-05,40000,1
10653,Otmar,Feinberg,Senior Engineer,1987-04-30,40000,1
10671,Parviz,Rebaine,Senior Staff,1995-09-14,74037,1
10676,Valeri,Danley,Engineer,1999-09-04,58226,1
10693,Berhard,Daescu,Senior Staff,1986-01-08,40000,1
10702,Bader,Szemeredi,Senior Engineer,1991-01-14,46581,1
10718,Adib,Rullman,Senior Engineer,1988-07-21,75473,1
10726,Zita,Minakawa,Engineer,1992-02-25,46315,1
10734,Sachar,Erdi,Engineer,1995-12-19,47377,1
10745,Poorav,Ranze,Engineer,1988-01-23,40000,1
10749,King,Brendel,Engineer,1985-09-26,60829,1
10767,Monique,Doering,Staff,1997-07-15,40651,1
10768,Ishfaq,Candan,Engineer,1985-07-04,65717,1
10778,Selwyn,Merey,Senior Staff,1986-07-04,64996,1
10791,Tadahiko,Sgarro,Engineer,1988-07-30,40000,1
10795,Supot,Naudin,Senior Staff,1993-05-03,84206,1
10808,Chenxi,Leijenhorst,Senior Engineer,1987-03-07,40000,1
10835,Tomoyuki,Kermarrec,Engineer,1995-08-22,40000,1
10836,Jianhua,Leivant,Senior Staff,1991-07-01,65502,1
10844,Dipayan,Koprowski,Engineer,1997-04-25,40000,1
10847,Theirry,Danley,Senior Staff,1986-07-25,40000,1
10848,Fen,Bratsberg,Engineer,1985-04-20,50475,1
10878,Lakshmi,Deville,Staff,1997-04-25,72102,1
10879,Muzhong,Chleq,Senior Engineer,1985-08-15,65651,1
10883,Shimshon,Champarnaud,Engineer,1996-12-28,40000,1
10909,Georgi,Atchley,Engineer,1993-12-26,80935,1
10921,Mara,Bahi,Engineer,1986-07-27,72601,1
10924,Hironoby,Atchley,Senior Staff,1988-08-14,84783,1
10927,Gal,Scallan,Senior Staff,1986-09-12,51819,1
10936,Mountaz,Schicker,Senior Staff,1990-05-09,40000,1
10943,Berna,Skafidas,Senior Engineer,1993-05-22,45890,1
10965,Eckart,Braunschweig,Senior Staff,1986-07-29,61654,1
10969,Premal,Noriega,Senior Engineer,1994-05-12,40000,1
10974,Muneo,Papsdorf,Senior Engineer,1999-05-17,56005,1
10986,Masako,Schiper,Technique Leader,1985-10-11,43900,1
10988,Chinya,Deyuan,Senior Engineer,1985-06-19,54174,1
10989,Sumali,Candan,Senior Staff,1985-07-20,46406,1
10990,Shin,Foote,Technique Leader,1990-08-06,40000,1
